movieId,genres
91511,Comedy
91535,Thriller
91542,Thriller
91797,Romance
91826,Drama
91886,Comedy
91888,Drama
91911,Drama
91976,Thriller
92198,Thriller
92206,Thriller
92210,Sci_Fi
92224,Drama
92234,War
92243,War
92352,Drama
92391,Horror
92475,War
92507,Thriller
92652,Documentary
92768,Comedy
93132,Drama
93181,Comedy
93183,Comedy
93196,Drama
93344,Romance
93367,Drama
93475,Thriller
93496,Drama
93520,Drama
93563,Sci_Fi
93570,Thriller
93831,Comedy
93840,Thriller
93865,Drama
93982,Thriller
94070,Comedy
94271,Drama
94289,Comedy
94365,Romance
94444,Drama
94666,Thriller
94727,Drama
94729,War
94790,Romance
94810,Thriller
94933,Drama
94982,Romance
95214,Drama
95352,Romance
95461,Comedy
95543,Romance
95558,Drama
95765,Romance
95839,Fantasy
95858,Fantasy
96034,Drama
96195,Comedy
96401,Drama
96419,Drama
96421,Drama
96471,Drama
96588,Comedy
96596,Drama
96634,Thriller
96700,Drama
96751,Drama
96815,Horror
96832,Drama
96870,Romance
96923,Drama
97024,Thriller
97031,Sci_Fi
97070,Drama
97230,Documentary
97308,Drama
97324,Thriller
97393,Drama
97460,Comedy
97673,Drama
97792,Thriller
97906,Romance
97936,Romance
97957,Drama
97971,Drama
98296,Drama
98373,Romance
98807,Romance
99043,Drama
99296,Thriller
99314,Romance
99317,Drama
99397,Sci_Fi
99448,Drama
99487,Thriller
99739,Comedy
99941,Comedy
100244,Thriller
100248,Drama
100302,Romance
100326,Thriller
100390,Comedy
100450,Drama
100556,Documentary
101016,Drama
101088,Thriller
101182,Drama
101264,Drama
101283,Comedy
101362,Thriller
101763,Drama
101967,Drama
102088,War
102125,Sci_Fi
102176,Drama
102194,Drama
102280,Drama
102497,Romance
102684,Thriller
102716,Thriller
102991,Horror
103228,Sci_Fi
103366,Thriller
103481,Thriller
103554,Thriller
103590,Sci_Fi
103624,Comedy
103801,Comedy
103810,Romance
103834,Drama
103996,Drama
104011,Romance
104017,Drama
104041,Sci_Fi
104069,Thriller
104226,Drama
104241,Comedy
104245,Drama
104247,Comedy
104303,Drama
104627,Drama
104638,Thriller
104908,Horror
104944,Drama
104969,Romance
105135,Romance
105379,Sci_Fi
105382,Drama
105746,Comedy
105767,Drama
105801,Drama
105805,Comedy
106098,Drama
106193,Drama
106210,Thriller
106240,Thriller
106332,Comedy
106616,Horror
106766,Drama
107042,Comedy
107050,Romance
107083,Thriller
107117,Drama
107143,Drama
107196,Documentary
107357,Drama
107501,Comedy
107730,Drama
107737,Thriller
107955,Thriller
107962,Thriller
108007,Drama
108190,Thriller
108425,Romance
108512,Comedy
108729,Thriller
108928,Drama
109042,Fantasy
109191,Fantasy
109313,Comedy
109317,Comedy
109533,Thriller
109793,Romance
109800,Drama
109897,Romance
110039,Thriller
110273,War
110447,Comedy
110553,Comedy
110599,Drama
110613,Drama
110669,Comedy
110884,Romance
110899,Thriller
111233,Comedy
111283,Comedy
111403,Thriller
111617,Romance
111659,Thriller
111680,Romance
112070,Comedy
112093,Drama
112328,Comedy
112623,Sci_Fi
112640,Thriller
112733,Drama
113064,Drama
113773,Drama
113855,Drama
114044,Thriller
114236,Comedy
114252,Comedy
114762,Romance
114836,Drama
114852,Thriller
115135,Drama
115770,Thriller
115881,Thriller
116797,Sci_Fi
116897,Drama
117887,Comedy
118696,Drama
119167,Thriller
119575,Comedy
119655,Fantasy
120104,Romance
120110,Drama
120466,Drama
120625,Thriller
120775,Romance
121342,Comedy
125918,Comedy
126591,Drama
127993,Drama
128671,Drama
