movieId,genres
91511,Comedy
91535,Horror
91542,Mystery
91797,Crime
91826,Drama
91886,Drama
91888,Children
91911,Documentary
91976,Thriller
92198,Thriller
92206,Thriller
92210,Fantasy
92224,Western
92234,War
92243,War
92352,War
92391,Horror
92475,War
92507,Thriller
92652,Documentary
92768,Comedy
93132,Children
93181,Western
93183,Documentary
93196,Action
93344,Documentary
93367,Horror
93475,Thriller
93496,Fantasy
93520,Sci_Fi
93563,Sci_Fi
93570,Drama
93831,Fantasy
93840,Crime
93865,Horror
93982,Thriller
94070,Children
94271,Sci_Fi
94289,Musical
94365,Thriller
94444,Animation
94666,Romance
94727,Fantasy
94729,War
94790,Sci_Fi
94810,Sci_Fi
94933,Drama
94982,Comedy
95214,Children
95352,Romance
95461,Mystery
95543,Fantasy
95558,Romance
95765,Comedy
95839,Fantasy
95858,Children
96034,Mystery
96195,Drama
96401,Comedy
96419,Film_Noir
96421,Drama
96471,Western
96588,Romance
96596,Sci_Fi
96634,Mystery
96700,Sci_Fi
96751,Crime
96815,Mystery
96832,Fantasy
96870,Western
96923,Thriller
97024,Thriller
97031,Romance
97070,Musical
97230,Documentary
97308,Crime
97324,Thriller
97393,Crime
97460,Romance
97673,Mystery
97792,Thriller
97906,Crime
97936,Romance
97957,Comedy
97971,Mystery
98296,Documentary
98373,Musical
98807,Romance
99043,Romance
99296,Thriller
99314,Crime
99317,Fantasy
99397,Sci_Fi
99448,War
99487,Documentary
99739,Drama
99941,Children
100244,Romance
100248,Fantasy
100302,Drama
100326,Crime
100390,Comedy
100450,Fantasy
100556,Documentary
101016,Crime
101088,Thriller
101182,Crime
101264,Comedy
101283,Action
101362,Thriller
101763,Romance
101967,Crime
102088,War
102125,Sci_Fi
102176,Documentary
102194,Adventure
102280,Drama
102497,War
102684,Thriller
102716,Thriller
102991,Fantasy
103228,Sci_Fi
103366,Adventure
103481,Horror
103554,Mystery
103590,Sci_Fi
103624,Romance
103801,Romance
103810,Thriller
103834,Comedy
103996,Comedy
104011,Drama
104017,Musical
104041,Romance
104069,Crime
104226,Drama
104241,Children
104245,Animation
104247,Comedy
104303,Children
104627,Action
104638,Documentary
104908,Romance
104944,Drama
104969,Comedy
105135,Musical
105379,Documentary
105382,Drama
105746,Comedy
105767,Crime
105801,Drama
105805,Mystery
106098,Documentary
106193,Drama
106210,Thriller
106240,Fantasy
106332,Crime
106616,Sci_Fi
106766,Western
107042,Romance
107050,Romance
107083,Horror
107117,Documentary
107143,Drama
107196,Documentary
107357,Drama
107501,Comedy
107730,Drama
107737,Fantasy
107955,Thriller
107962,Mystery
108007,Horror
108190,Horror
108425,Crime
108512,Comedy
108729,Thriller
108928,Thriller
109042,Children
109191,Drama
109313,Drama
109317,Crime
109533,Documentary
109793,Sci_Fi
109800,Crime
109897,Sci_Fi
110039,Children
110273,War
110447,Comedy
110553,Children
110599,Crime
110613,Romance
110669,Drama
110884,Romance
110899,Thriller
111233,Mystery
111283,Crime
111403,Drama
111617,Romance
111659,Fantasy
111680,Romance
112070,Crime
112093,Drama
112328,Comedy
112623,Romance
112640,Crime
112733,Documentary
113064,Action
113773,Documentary
113855,Documentary
114044,Thriller
114236,Documentary
114252,Western
114762,Romance
114836,Horror
114852,Romance
115135,Drama
115770,Crime
115881,Romance
116797,War
116897,Mystery
117887,Children
118696,War
119167,Fantasy
119575,Sci_Fi
119655,Fantasy
120104,Crime
120110,Comedy
120466,Western
120625,Thriller
120775,Mystery
121342,War
125918,Comedy
126591,Romance
127993,Fantasy
128671,Romance
